po_/_so_#,country,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,days_to_process
0,648,5,240,906,19071.3,21.05,0.09,1,3850.8,0,-854
0,648,1,60,38780,432009.2,11.14,0.19,1,14364.29,0,-931
0,1107,1,60,4632,16906.8,3.65,0.06,0,3549.77,0,-907
0,1107,1,60,166,356.9,2.15,0.04,0,3549.77,0,-907
0,648,1,30,60784,1018132.0,16.75,0.56,1,49824.57,0,-894
0,673,5,240,1000,5050.0,5.05,0.02,1,25124.12,0,-810
0,673,5,240,1000,2440.0,2.44,0.01,0,3549.77,0,-810
0,673,1,60,25000,187500.0,7.5,0.12,1,21150.56,0,-693
0,648,5,60,5408,68952.0,12.75,0.21,1,0.0,0,-726
0,1107,2,20,10000,270000.0,27.0,1.35,1,28118.58,0,-692
0,1107,2,20,11500,310500.0,27.0,1.35,1,43664.71,0,-668
0,1107,2,20,8000,216000.0,27.0,1.35,1,22838.29,0,-698
0,673,1,30,22500,277425.0,12.33,0.41,1,18045.24,0,-608
0,673,5,240,500,950.0,1.9,0.01,0,3549.77,0,-608
0,673,5,60,800,5600.0,7.0,0.12,1,2514.05,0,-571
0,673,5,300,200,16440.0,82.2,0.27,1,2326.1,0,-630
0,494,2,25,10000,200000.0,20.0,0.8,1,27791.62,0,-530
0,494,2,25,5000,100000.0,20.0,0.8,1,14505.37,0,-496
0,95,2,25,150,11250.0,75.0,3.0,1,0.0,0,-642
0,181,1,60,35065,54350.75,1.55,0.03,1,6755.81,0,-525
0,237,2,20,2220,71040.0,32.0,1.6,1,6524.19,0,-546
0,762,1,30,140,3313.8,23.67,0.79,1,0.0,0,-427
0,1402,5,240,500,3630.0,7.26,0.03,0,0.0,0,-489
0,1402,1,30,20,535.2,26.76,0.89,0,0.0,0,-489
0,1402,1,30,10,443.0,44.3,1.48,0,0.0,0,-489
0,403,2,20,4500,144000.0,32.0,1.6,1,38425.29,0,-508
0,673,1,60,400,600.0,1.5,0.02,1,2426.05,0,-496
0,615,2,100,2,278.0,139.0,1.39,1,0.0,0,-283
0,615,2,100,4,556.0,139.0,1.39,1,0.0,0,-469
0,1402,5,30,200,696.0,3.48,0.12,0,0.0,0,-514
0,1402,1,30,1200,23808.0,19.84,0.66,0,0.0,0,-514
0,1402,1,30,30,1271.1,42.37,1.41,0,0.0,0,-514
0,1402,1,84,3,32.31,10.77,0.13,0,0.0,0,-514
